,coef
staff,-0.38402501378779363
labour,-0.3879488792659511
work,-0.4001677303299971
left,-0.4067952041923559
sport,-0.40985323029216647
world,-0.41520082318026913
plans,-0.4416631087626083
funding,-0.44222265515371817
company,-0.46067984128181094
city,-0.4639134345328112
close,-0.46608503457792816
league,-0.4721781517659857
season,-0.4732344161474032
financial,-0.4813689293341098
box,-0.48386663604072877
way,-0.48418331942071435
footed,-0.5068160499083064
services,-0.5232316714255766
use,-0.5276766545025183
help,-0.537414340139772
women,-0.5632249947181747
cup,-0.5677621769841067
trump,-0.5770241076888203
man,-0.5792025773766581
involved,-0.5827839122895789
attempt,-0.5908036524510099
service,-0.5952586265434195
international,-0.6277952850682448
election,-0.6305920188554832
good,-0.6373190803183623
report,-0.6557018853334583
police,-0.6598542638491386
project,-0.687373389591099
media,-0.6906285549078802
public,-0.714358669877851
months,-0.7287796113298374
shot,-0.7575413767308204
start,-0.7652617732518638
united,-0.7920384011380425
later,-0.7977659614541636
england,-0.8146671830669209
club,-0.8187693724342662
area,-0.8194966003697667
office,-0.8622144433144234
number,-0.8785165694038635
university,-0.8830871682816831
group,-0.8956346460339324
london,-0.9147459702937207
council,-0.9220982249033217
free,-0.9293067737718276
school,-0.9443113160529029
used,-0.9617145460423375
new,-0.9726166841845244
business,-0.982009628042829
information,-0.9831679050923398
years,-0.9935843484327639
game,-0.9972309919979697
days,-0.9994048988718813
ireland,-1.0110115916157119
given,-1.020666862924811
power,-1.0555500739300503
wales,-1.070271139209091
outside,-1.0723918375833725
eu,-1.0752921276025673
play,-1.0764285435352279
west,-1.0788371210273286
president,-1.084156357905911
run,-1.1211366000337732
came,-1.131803119087475
care,-1.1351548248853718
men,-1.1450793021305388
end,-1.161126262163698
countries,-1.1716100951966981
kick,-1.1765969478763896
deal,-1.1771846289197172
town,-1.189822248593816
000,-1.206010488168109
head,-1.2094728717660799
away,-1.2123254284746818
economy,-1.2228639844224776
final,-1.2303522894125352
played,-1.271205769982132
change,-1.2783109052948407
north,-1.299771114071127
early,-1.3074726491260096
wins,-1.3429719073470427
scotland,-1.3692073322605538
people,-1.3791044329691822
far,-1.3856037416853648
better,-1.3960006888576029
minister,-1.413944268741213
right,-1.433730754674232
going,-1.444004260380806
state,-1.4464039138395717
having,-1.46014696844724
know,-1.46066629702236
point,-1.4636795900903508
best,-1.4697186938638573
south,-1.4964210277523762
ahead,-1.590331646795186
points,-1.6486382806069038
20,-1.6642560280213914
10,-1.7027297485471116
time,-1.7398090498699788
foul,-1.8683859821754867
money,-1.8736908233897451
members,-1.8936427781438356
don,-1.910369643092974
want,-1.9161810821036398
following,-1.9595787507382492
times,-2.0007620117296607
called,-2.008196982302121
day,-2.0103545051150045
games,-2.0149194371923205
statement,-2.030500560637617
second,-2.043679841042596
half,-2.1038067288369
ms,-2.1230401760804587
2014,-2.165199429320657
news,-2.222294957099204
won,-2.26552606403846
week,-2.4879426017887236
bbc,-2.736053990498579
2015,-2.835014242133507
year,-2.8812218259619167
did,-2.944498382338038
really,-2.9513766600615465
mr,-3.141872383368728
month,-3.142768381342759
like,-3.2807892904716205
added,-3.754098023285812
told,-3.8043884289322234
say,-3.8356110017931218
says,-5.185807676485713
said,-8.303209440423116
